Market,id,Name,Address,Type,X Coord,Y Coord,Notes
Baltimore Peninsula,peninsula,Rye Street Market,"301 Mission Blvd, MD 21230",Office / Retail (Mixed-Use),-76.6067613,39.2650989,
Baltimore Peninsula,peninsula,The Exchange at Rye Street,"301 Mission Blvd (1st Floor), MD 21230",Retail — Multi-Vendor Market Hall,-76.607,39.2652,
Baltimore Peninsula,peninsula,2455 House Street,"2455 House St, MD 21230",Class A Office,-76.6089241,39.2631876,
Baltimore Peninsula,peninsula,Building E11,"Banner St & Cromwell St, MD 21230",Office,-76.6104228,39.264449,
Baltimore Peninsula,peninsula,301 S Mission Boulevard,"301 S Mission Blvd, MD 21230",Office,-76.6064,39.2648,
Baltimore Peninsula,peninsula,City Garage S&T Center,"101 W Dickman St, MD 21230",Flex / Lab / R&D / Manufacturing,-76.6159424,39.2628298,
Baltimore Peninsula,peninsula,300 E Cromwell Street,"300 E Cromwell St, MD 21230",Industrial Land — 18 Acres,-76.6101,39.264449,
Baltimore Peninsula,peninsula,175 W Ostend Street,"175 W Ostend St, MD 21230",Office / Retail,-76.6191577,39.2747777,
Baltimore Peninsula,peninsula,1401 Severn Street,"1401 Severn St, MD 21230","Retail — 64,120 SF",-76.6320655,39.2748269,
Baltimore Peninsula,peninsula,1800 Johnson Street,"1800 Johnson St, MD 21230",Commercial,-76.609944,39.2690964,
Canton,canton,Lighthouse Landing,"2700-2800 Lighthouse Pt E, MD 21224",Office / Medical / Retail,-76.57782,39.278753,
Canton,canton,The Broom Factory,"3500 Boston St, MD 21224",Historic Loft / Creative Office,-76.5673754,39.2778035,
Canton,canton,Brown's Wharf,"1631-1637 Thames St, MD 21231",Historic Office,-76.593671,39.281509,
Canton,canton,Tack Factory,"1300 Bank St, MD 21231",Historic Mixed-Use,-76.598757,39.2866436,
Canton,canton,Yard 56,"5601 Eastern Ave, MD 21224",Modern Retail,-76.547333,39.2868821,
Canton,canton,2907-2911 O'Donnell Street,"2907-2911 O'Donnell St, MD 21224",Premium Retail,-76.5751244,39.2798772,
Canton,canton,Waterfront Office Space,"2030 Aliceanna St, MD 21231",Office / Retail (Value Add),-76.5876419,39.2841163,
Canton,canton,720 S. Montford Avenue,"720 S Montford Ave, MD 21224",Boutique Office / Historic,-76.5829936,39.2834761,
Canton,canton,Lighthouse Point Yachting Center,"2760 Boston St, MD 21224",Marina-Side Office,-76.5774154,39.2790511,
Canton,canton,3701 Eastern Avenue,"3701 Eastern Ave, MD 21224",Office / Medical,-76.5662773,39.2863768,
Downtown Baltimore,downtown,Pratt Plaza Tower II,"100 S Charles St, MD 21201",Class A Office,-76.6157314,39.2869711,
Downtown Baltimore,downtown,One North Charles,"1 N Charles St, MD 21201",Class A Office,-76.615105,39.2902659,
Downtown Baltimore,downtown,Pier IV — Spark Flex,"621 E Pratt St, MD 21202",Class A Office / Coworking,-76.6070624,39.2853817,
Downtown Baltimore,downtown,31 Light Street,"31 Light St, MD 21202",Historic Office / Medical,-76.6133027,39.2879933,
Downtown Baltimore,downtown,The Railway Express,"1501 Saint Paul St, MD 21202",Historic Loft Office,-76.614082,39.306596,
Downtown Baltimore,downtown,The Chesapeake Building,"1701-1709 N Charles St, MD 21201",Boutique Historic Office,-76.6161684,39.3089269,
Downtown Baltimore,downtown,1110-1120 N Charles,"1110 N Charles St, MD 21201",Mixed-Use (Office / Retail),-76.6163499,39.3028781,
Downtown Baltimore,downtown,The Cokesbury Building,"516 N Charles St, MD 21201",Historic Office,-76.6158,39.296,
Downtown Baltimore,downtown,The Maryland Life Building,"8-10 South St, MD 21202",Historic Office,-76.6108199,39.2893512,
Downtown Baltimore,downtown,Howard Row,"413 N Howard St, MD 21201",Retail,-76.6211,39.2904,
Downtown Baltimore,downtown,1111 Maryland Avenue,"1111 Maryland Ave, MD 21201",Value Add Office,-76.6171275,39.302852,
Downtown Baltimore,downtown,404 East Baltimore Street,"404 E Baltimore St, MD 21202",Mixed-Use (Whole-Building),-76.609912,39.2899423,
Federal Hill,federalhill,29 E Cross Street,"29 E Cross St, MD 21230",Retail,-76.6132414,39.2765367,
Federal Hill,federalhill,15 E Cross Street,"15 E Cross St, MD 21230",Retail,-76.6135,39.2765,
Federal Hill,federalhill,1037 Light Street,"1037 Light St, MD 21230","Retail — 2,340 SF",-76.6121533,39.2774673,
Federal Hill,federalhill,1108 Light Street,"1108 Light St, MD 21230","Retail — 2,700 SF",-76.6124,39.2769,
Federal Hill,federalhill,1118 Light Street,"1118 Light St, MD 21230",Retail (Ground Floor Mixed-Use),-76.6126224,39.2762787,
Federal Hill,federalhill,1125 S Charles Street,"1125 S Charles St, MD 21230",Retail — For Sale,-76.6141024,39.2761019,
Federal Hill,federalhill,37 W Cross Street,"37 W Cross St, MD 21230",Retail,-76.6143,39.2765,
Federal Hill,federalhill,1005 N Charles Street,"1005 N Charles St, MD 21201","Mixed / Retail — 13,000 SF",-76.615,39.282,
Federal Hill,federalhill,1023 S Charles Street,"1023 S Charles St, MD 21230","Mixed / Retail — 5,000 SF",-76.6143,39.2758,
Federal Hill,federalhill,900 E Fort Avenue,"900 E Fort Ave, MD 21230","Retail — 6,615 SF",-76.6003369,39.2718049,
Federal Hill,federalhill,301 E Fort Avenue,"301 E Fort Ave, MD 21230",Office / Retail,-76.6089175,39.272667,
Federal Hill,federalhill,500 Harborview Drive,"500 Harborview Dr, MD 21230","Office / Retail — 7,064 SF",-76.6045174,39.2761662,
Federal Hill,federalhill,814 Light Street,"814 Light St, MD 21230",Office — For Sale,-76.6132008,39.2792439,
Federal Hill,federalhill,575 S Charles Street,"575 S Charles St, MD 21230","Office — 72,042 SF",-76.6144115,39.2825094,
Federal Hill,federalhill,1900 Light Street,"1900 Light St, MD 21230","Retail / Office — 34,500 SF",-76.612,39.271,
Harbor East,harboreast,100 International Drive,"100 International Dr, MD 21202","Class A Office — 559,192 SF",-76.601512,39.2828973,
Harbor East,harboreast,1001 Fleet Street,"1001 Fleet St, MD 21202",Class A Mixed-Use,-76.5995094,39.2839916,
Harbor East,harboreast,650 S. Exeter Street,"650 S Exeter St, MD 21202",Class A Office,-76.60042,39.2836692,
Harbor East,harboreast,1000 Lancaster Street,"1000 Lancaster St, MD 21202",Class A Office (Renovated 2023),-76.5996683,39.282667,
Harbor East,harboreast,720 Aliceanna Street,"720 Aliceanna St, MD 21202",Class A Mixed-Use,-76.6023062,39.2833771,
Harbor East,harboreast,901 S. Bond Street,"901 S Bond St, MD 21231",Pier Office,-76.5945061,39.2805499,
Harbor East,harboreast,EJ Codd Building,"700 S Caroline St, MD 21231",Historic Office / Retail,-76.5970432,39.2830009,
Harbor East,harboreast,Avalon 555 President,"555 President St, MD 21202",Retail (Luxury Tower Ground Floor),-76.6024371,39.2849356,
Harbor East,harboreast,750 East Pratt Street,"750 E Pratt St, MD 21202",Class A Office (Sublease),-76.6055412,39.2874012,
Harbor East,harboreast,800 S. Caroline Street,"800 S Caroline St, MD 21231",Mixed-Use (Hyatt Place),-76.5965615,39.2824245,
Southwest Partnership,southwest,4MLK — BioPark Phase I,"4 MLK Jr Blvd, MD 21201",Class A Lab / Office / Flex / Retail,-76.6283262,39.2893796,
Southwest Partnership,southwest,4MLK Phase 2 (BTS),"4 MLK Jr Blvd, MD 21201",Lab / Office / Manufacturing (BTS),-76.6291,39.2896,
Southwest Partnership,southwest,801 W Baltimore Street,"801 W Baltimore St, MD 21201",Office (BioPark Cluster),-76.6290472,39.2887981,
Southwest Partnership,southwest,800 W Baltimore Street,"800 W Baltimore St, MD 21201",Office (BioPark Cluster),-76.6294,39.2885,
Southwest Partnership,southwest,Firehouse @ 4MLK,"760 W Baltimore St, MD 21201",Retail (Adaptive Reuse Historic Firehouse),-76.628632,39.2892259,
Southwest Partnership,southwest,West Lexington Corridor,"600 Block W. Lexington St, MD 21201",Retail (Future Delivery — 2029),-76.627,39.29,
Southwest Partnership,southwest,413–423 W Baltimore Street,"413–423 W Baltimore St, MD 21201",Retail,-76.6215163,39.289108,
Southwest Partnership,southwest,813 Washington Boulevard,"813 Washington Blvd, MD 21230",Retail / Restaurant,-76.6293606,39.2828228,
Southwest Partnership,southwest,1240 Scott Street,"1240 Scott St, MD 21230","Retail — 3,600 SF",-76.6287388,39.2778928,
